Meeting	Date	Race	Name	Type	Distance
BET365 TRARALGON	Wednesday, 5 August 2026	1	0 - 116 HURDLE TRIAL	Hdle	2400 m
BET365 TRARALGON	Wednesday, 5 August 2026	2	117+ HURDLE TRIAL	Hdle	2400 m
BET365 TRARALGON	Wednesday, 5 August 2026	3	0 - 116 HURDLE TRIAL	Hdle	2800 m
BET365 TRARALGON	Wednesday, 5 August 2026	4	117+ HURDLE TRIAL	Hdle	2800 m
BET365 TRARALGON	Wednesday, 5 August 2026	5	0 - 116 STEEPLECHASE TRIAL	3YO & Up Stple	2400 m
BET365 TRARALGON	Wednesday, 5 August 2026	6	117+ STEEPLECHASE TRIAL	3YO & Up Stple	2400 m
BET365 TRARALGON	Wednesday, 5 August 2026	7	0 - 116 STEEPLE TRIAL	Stple	2800 m
BET365 TRARALGON	Wednesday, 5 August 2026	8	117+ STEEPLE TRIAL	Stple	2800 m
