Amount	Breakdown
Of $35,000.	1st $21,450, 2nd $6,600, 3rd $2,970, 4th $1,320, 5th $660, 6th to 10th $400
Of $40,000.	1st $24,700, 2nd $7,600, 3rd $3,420, 4th $1,520, 5th $760, 6th to 10th $400
Of $50,000.	1st $31,200, 2nd $9,600, 3rd $4,320, 4th $1,920, 5th $960, 6th to 10th $400
Of $60,000.	1st $37,050, 2nd $11,400, 3rd $5,130, 4th $2,280, 5th $1,140 6th to 10th $600
Of $75,000.	1st $46,800, 2nd $14,400, 3rd $6,480, 4th $2,880, 5th $1,440, 6th to 10th $600
Of $80,000.	1st $50,050, 2nd $15,400, 3rd $6,930, 4th $3,080, 5th $1,540, 6th to 10th $600
Of $100,000.	1st $55,000, 2nd $18,000, 3rd $9,000, 4th $5,000, 5th $3,000 6th to 10th $2000
Of $150,000.	1st $82,500, 2nd $27,000, 3rd $13,500, 4th $7,500, 5th $4,500 6th to 10th $3,000
